Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,610,610.000,3595,4708,24986,91615,121097,252737,352806,614461,682942
1,906,906.000,3044,4404,20571,56395,92408,148958,207580,300076,464286
2,698,698.000,3178,4106,6379,73717,107105,214389,268050,629875,749814
3,513,513.000,3342,4156,5159,98805,108291,323965,402862,805610,908731
4,481,481.000,3221,4171,5012,97263,102685,318438,385648,880485,968273
5,505,505.000,3317,4146,20701,107940,142824,326523,393875,758045,914363
6,547,547.000,3317,4326,6898,81668,101050,263780,398467,544430,816138
7,706,706.000,3138,4083,6082,72200,111888,232766,297884,414941,605510
8,724,724.000,3317,4107,6004,64499,109730,198498,238888,324145,548261
9,770,770.000,2995,3973,6308,70673,110433,221729,292553,359150,634002
10,670,670.000,3119,4077,27560,73023,110899,212836,272196,411110,518658
11,629,629.000,3109,4049,5257,75897,110533,281591,326712,403991,425827
12,571,571.000,3004,3996,4819,93988,110452,295876,492958,736518,924232
13,548,548.000,2822,4069,5108,99427,109071,316302,511488,748877,779998
14,715,715.000,3112,4039,5594,59478,89476,203216,241140,321854,432327
15,831,831.000,3181,4029,4689,61919,66009,200331,304775,648430,759122
16,635,635.000,3233,4107,6450,74380,107381,269286,310834,420157,568529
17,696,696.000,3066,4091,6089,82851,128368,293293,357608,433932,488875
18,598,598.000,3183,4025,6060,91205,103447,250166,537653,648440,879231
19,386,386.000,3306,4171,7133,116604,139045,407150,519651,656145,824894
20,588,588.000,3107,4013,6292,77552,124486,248475,318064,474144,492911
21,648,648.000,3056,4006,6947,77153,124590,264956,300958,336365,359526
22,584,584.000,3027,4043,4752,77605,94530,266068,372444,441744,579989
23,819,819.000,3015,3988,5207,67383,101812,243771,299623,486210,643396
24,763,763.000,3110,4005,7865,68903,99520,191923,310616,428931,499714
25,801,801.000,3013,3963,4825,52795,85916,149244,212835,349616,521650
26,851,851.000,2963,4015,5216,70826,89158,203246,369386,499576,686684
27,463,463.000,3237,4108,7196,94912,113281,314625,436200,619014,685661
28,739,739.000,3050,4035,6883,69546,101389,243562,316945,388721,451377
29,631,631.000,3134,4055,6895,78563,111282,285181,328663,392794,532051
30,646,646.000,3248,3988,4830,78837,90916,246905,464118,673957,832502
31,710,710.000,3137,3964,4754,64372,91542,209272,271268,461148,514207
32,882,882.000,3056,3974,6280,62996,99773,194488,247493,365850,512200
33,919,919.000,3065,3967,4782,49566,88032,145692,178832,306102,400403
34,656,656.000,3157,4127,6738,79281,104570,283635,338487,507988,608497
35,545,545.000,3217,4043,5153,98908,118967,295870,378975,891468,1028139
36,576,576.000,3221,4099,5524,86990,111980,283500,325268,854378,1008005
37,535,535.000,3024,4068,30982,83401,118243,273490,315277,368172,577725
38,893,893.000,3037,3929,4671,56707,95415,193393,249840,312944,456367
39,762,762.000,3038,3955,5048,64931,96107,219091,280628,448707,604106
40,472,472.000,3126,4045,6069,109667,166573,415338,476186,624346,726675
41,911,911.000,3050,3980,5480,52969,92238,156131,201927,312856,374193
42,869,869.000,2872,4045,6301,57012,102095,177196,209727,268494,370119
43,766,766.000,2914,4053,7438,66241,107981,185343,238836,432729,561124
44,580,580.000,3163,4063,6671,83267,135258,251742,310295,474993,635221
45,687,687.000,2742,4248,6784,74124,113377,222515,293394,401998,476716
46,693,693.000,3077,4176,5909,76503,103824,205492,358008,854529,943315
47,467,467.000,3122,4132,5530,94946,127229,346543,402414,514495,679720
48,641,641.000,3241,4085,24849,84865,123699,268231,341608,423504,1083210
49,512,512.000,3238,4061,6356,93086,125001,320930,463330,541965,589392
50,620,620.000,3094,4010,4977,94359,114493,341511,488713,654931,815890
51,459,459.000,3124,4041,5108,96238,131954,341825,466661,605690,669499
52,613,613.000,3101,4003,5002,82136,118981,251548,311385,631210,816840
53,504,504.000,3150,3976,4729,106904,113036,399236,497151,671397,827527
54,517,517.000,3239,4105,15621,90348,114516,289430,377605,557768,698583
55,681,681.000,3175,4028,5545,64818,92742,186129,277698,415902,472435
56,662,662.000,3300,4066,6866,83862,121960,260348,350387,443393,601372
57,693,693.000,2942,4038,5130,67179,105928,214931,285240,454304,485732
58,635,635.000,3206,4171,23103,79066,114157,243067,313290,499392,567429
59,648,648.000,3268,4086,5393,64644,110031,191241,247610,320000,596271
