Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,383,383.000,16,2342,34531,976165,1181691,4368593,4474560,4947034,4958113
1,72,72.000,27,247,11444,563321,245246,2981836,3070675,3377803,3377803
2,80,80.000,15,6831,10800,692613,960476,2750091,2909581,2950123,2950123
3,33,33.000,11,76,10320,513023,986144,1748292,1876284,1888414,1888414
4,192,192.000,17,17824,33613,165269,78132,95012,1949157,2426128,2473736
5,805,805.000,6,12400,24213,308609,58566,1801920,1996324,4989784,5291434
6,15,15.000,7877,22631,103366,1357771,3508199,3529500,3539604,3539604,3539604
7,198,198.000,12,8299,19268,956575,1546043,3290147,3362766,3436652,3473862
8,78,78.000,17,8310,16722,706247,1867761,2332562,2372650,2435653,2435653
9,40,40.000,22,8263,9682,222277,21006,1153874,1439456,1440815,1440815
10,563,563.000,13,16244,31392,465061,68303,1609935,4114846,4179033,4269000
11,57,57.000,34,7665,8672,855390,2873642,3053381,3135369,3193266,3193266
12,104,104.000,26,7455,19822,974779,2609199,2702228,2728782,2812558,2826600
13,58,58.000,10,7442,13271,421121,862267,1739846,1793290,1858482,1858482
14,261,261.000,19,21259,38072,888574,2658703,2732155,2746781,2770266,2783204
15,63,63.000,28,7406,13165,667478,1766987,1835479,1846658,2613233,2613233
16,6,6.000,9277,10328,893814,767721,1408378,1421160,1421160,1421160,1421160
17,263,263.000,15,20649,37665,1186163,3907623,3998539,4003065,4036074,4042410
18,75,75.000,13,7640,14475,798597,895926,3071194,3102378,3116998,3116998
19,47,47.000,25,7653,11898,549050,892546,2181594,2210005,2613306,2613306
20,11,11.000,20,29,12281,341683,869548,869934,1114462,1114462,1114462
21,289,289.000,15,18667,38418,1048934,3544204,3660979,3673379,3686778,3689211
22,61,61.000,17,8380,15702,803881,903125,2753591,2762137,2769928,2769928
23,34,34.000,20,8641,12002,426408,871953,1809847,1869649,1896157,1896157
24,14,14.000,6202,9663,15690,228828,590627,815603,892525,892525,892525
25,399,399.000,13,23323,40737,555552,870122,2961889,3014729,3035390,3103200
26,149,149.000,16,7548,12661,540797,1053230,2026785,2067107,2100121,2107569
27,26,26.000,8030,10558,647633,463503,876348,1058755,1142154,1160348,1160348
28,295,295.000,18,17295,38482,967834,1305212,3590113,3617074,3635441,3639717
29,73,73.000,29,8826,18514,791602,1061702,2651990,2669385,2714832,2714832
30,30,30.000,58,7979,17887,546171,997525,1772831,1805493,1817652,1817652
31,11,11.000,7771,9503,10187,352768,772207,884916,885539,885539,885539
32,253,253.000,88,21759,48253,932922,2735636,2800131,2820203,2824199,2826272
33,73,73.000,5725,7692,12686,597504,1616128,1839992,1903374,1925183,1925183
34,205,205.000,20,24784,38685,188777,75094,934590,1420084,1626118,1706694
35,249,249.000,17,19530,36162,1018572,1428374,4207678,4236089,4248655,4253298
36,135,135.000,22,7420,13445,949739,2705513,3200146,3248800,3292287,3293232
37,35,35.000,5732,8489,12309,507217,870005,1926861,2043030,2087011,2087011
38,11,11.000,7552,8584,21500,325988,874127,949367,1185577,1185577,1185577
39,356,356.000,8,16465,33015,720216,924804,3120532,3149866,3168339,3179694
40,59,59.000,8,7774,847152,808256,1850686,2180489,2225093,2234850,2234850
41,36,36.000,9,8162,11940,357336,886396,1246832,1340913,1355254,1355254
42,267,267.000,11,17489,37807,910854,2790197,2875521,2890765,2905021,2915354
43,67,67.000,12,8597,16885,583329,1527298,1764111,1797301,1904538,1904538
44,23,23.000,20,9820,18516,389338,766853,888612,1376404,1376430,1376430
45,260,260.000,6,20827,41346,923979,2811867,2896556,2907213,2913356,2916549
46,73,73.000,16,7911,12824,611591,1617852,1968837,1991712,2013161,2013161
47,14,14.000,8675,9643,863402,505637,1039096,1085917,1100725,1100725,1100725
48,300,300.000,5,26791,42443,666398,1360134,2271411,2312614,2329262,2336865
49,67,67.000,6918,8356,14681,471364,1001715,1343617,1355831,1388992,1388992
50,247,247.000,16,19120,49119,731410,1923558,1993187,2002721,2007913,2009977
51,57,57.000,39,7298,11616,375426,964530,1078724,1113198,1126804,1126804
52,299,299.000,9,20003,44918,1036191,1329484,3815063,3840581,3862249,3865276
53,60,60.000,2,8843,14656,801617,948300,2874262,2907530,2924965,2924965
54,38,38.000,12,9398,15613,709959,1706856,1996021,2478550,2488173,2488173
55,3,3.000,47875,47875,767578,556523,854118,854118,854118,854118,854118
56,251,251.000,17,23878,75910,757521,2043155,2155824,2170040,2175252,2180126
57,58,58.000,9,8064,16896,460143,1124799,1202351,1249282,1286618,1286618
58,217,217.000,7,13403,26702,119691,46507,378956,897383,947798,966665
59,20,20.000,12,7429,11459,11250,13760,20807,26113,26113,26113
