Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,118,118.000,6,441,8141,314244,244985,1153291,1733264,1958637,1958726
1,54,54.000,12,5846,16969,353429,513927,1517236,1539159,1552689,1552689
2,43,43.000,13,5991,15089,281231,490586,1004923,1029127,1468642,1468642
3,123,123.000,10,5315,7955,158303,19836,556872,1126822,1151478,1167069
4,142,142.000,13,5289,9278,159012,27879,557075,655653,1445339,1446612
5,42,42.000,14,5566,11210,323322,942476,970681,973165,977716,977716
6,57,57.000,12,6053,9753,336927,944632,959205,959609,961114,961114
7,63,63.000,19,5322,8741,441283,977533,1457294,1462919,1468797,1468797
8,56,56.000,15,5579,11385,337137,944819,964103,968758,969557,969557
9,136,136.000,35,5465,9740,135266,18172,512343,976555,993198,993537
10,99,99.000,10,5305,8363,145722,469823,512262,518721,528003,528003
11,76,76.000,18,5971,10613,255953,470503,961137,963186,971041,971041
12,116,116.000,23,5711,10232,257758,496411,1090926,1108180,1108683,1108814
13,112,112.000,10,5342,7698,171506,20431,933827,954496,962124,973721
14,68,68.000,17,5644,9285,357014,474000,1420665,1426692,1432612,1432612
15,25,25.000,31,5703,14182,301204,471527,932344,952308,958474,958474
16,148,148.000,31,6600,9605,150304,468378,550711,578907,586198,589351
17,95,95.000,55,6590,10551,212222,440785,991356,996500,1002934,1002934
18,140,140.000,23,5535,9804,142007,462140,486514,497732,509705,509980
19,138,138.000,15,5712,9040,195360,467825,903064,937493,951720,952477
20,72,72.000,12,5349,9146,327996,470453,1397734,1402646,1417780,1417780
21,26,26.000,6,5819,10043,287749,466929,928062,933599,939705,939705
22,144,144.000,17,5299,9018,173183,454706,495878,978963,987029,987076
23,74,74.000,20,6111,10172,198172,471316,501179,511342,516789,516789
24,107,107.000,15,5670,10065,238125,464643,943640,954756,966263,1436210
25,65,65.000,45,6644,10588,308419,474763,988340,989093,989850,989850
26,64,64.000,11,5996,10542,201107,486380,498242,505867,523272,523272
27,105,105.000,31,6367,11044,273140,554714,986769,997106,999327,1002764
28,69,69.000,4,5490,9011,190692,509977,535464,536127,542763,542763
29,80,80.000,4,6027,10037,285730,549226,1138068,1152118,1158441,1158441
30,71,71.000,3276,6493,11374,276704,478205,956913,966222,973473,973473
31,82,82.000,19,6065,10807,246910,480921,997800,1007490,1014972,1014972
32,59,59.000,3652,6803,27482,345300,538902,1022729,1023403,1029760,1029760
33,64,64.000,25,6399,12175,301512,491629,952028,959459,960184,960184
34,109,109.000,3169,6618,10152,180438,467666,489692,492243,509771,511018
35,178,178.000,28,5795,10093,124545,19173,518127,566612,571888,576725
36,115,115.000,30,6209,10664,246757,486957,987092,992347,996216,997448
37,80,80.000,4,5227,9108,235445,462548,986103,988374,988887,988887
38,83,83.000,16,5971,9931,152939,474221,501602,508435,515969,515969
39,69,69.000,23,6551,10774,285933,479212,978184,984981,985934,985934
40,61,61.000,3813,6835,10352,335381,996763,1018117,1023563,1025277,1025277
41,115,115.000,3375,5765,9929,240463,480237,1027537,1041144,1050047,1050453
42,74,74.000,18,6625,11532,181012,486227,511019,511864,561410,561410
43,92,92.000,9,6017,10395,225344,519203,547803,964858,978749,978749
44,81,81.000,3539,5560,9432,313990,490236,949956,954282,963173,963173
45,58,58.000,4015,6442,36834,225027,479722,490275,490720,491538,491538
46,103,103.000,3289,6871,14219,285416,510486,1013284,1024706,1036604,1037907
47,43,43.000,51,6467,492047,454163,1022512,1030801,1036357,1037984,1037984
48,55,55.000,106,7157,11729,183187,480219,494685,509348,513428,513428
49,150,150.000,15,5381,7906,141945,455773,489268,504857,510312,511895
50,66,66.000,4104,5842,10615,298203,904939,955560,956053,961792,961792
51,129,129.000,2924,5577,8283,210175,468938,986951,1004506,1012246,1018496
52,79,79.000,3830,5762,9943,170090,462876,497278,511298,543290,543290
53,107,107.000,3085,5524,9435,185396,25435,951717,960337,965677,968357
54,87,87.000,20,6482,12519,315980,493454,963900,973773,987181,987181
55,53,53.000,4492,7834,16996,342538,924743,960791,965023,965366,965366
56,62,62.000,3637,6142,10562,306838,487869,974406,974609,975145,975145
57,64,64.000,4,6141,11773,324814,499671,1021118,1028662,1030892,1030892
58,76,76.000,17,5405,10230,261363,489434,965291,981452,982421,982421
59,64,64.000,3279,5431,6752,52494,9379,41233,484650,500884,500884
