Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,FindFlights,1745346265.861023,502093,17,1
2,FindFlights,1745346265.865373,497745,14,1
2,FindFlights,1745346265.866122,507435,7,1
5,UpdateCustomer,1745346265.866253,10963,12,1
3,FindOpenSeats,1745346265.866407,5846,13,1
3,FindOpenSeats,1745346265.866460,29951,10,1
3,FindOpenSeats,1745346265.867217,5772,11,1
1,DeleteReservation,1745346265.867242,16,5,1
3,FindOpenSeats,1745346265.867269,6097,5,1
1,DeleteReservation,1745346265.867326,14,0,1
3,FindOpenSeats,1745346265.867352,6093,0,1
3,FindOpenSeats,1745346265.872299,5378,13,1
3,FindOpenSeats,1745346265.873014,5895,11,1
1,DeleteReservation,1745346265.873391,12,5,1
4,NewReservation,1745346265.873416,1539159,5,1
5,UpdateCustomer,1745346265.873470,16969,0,1
1,DeleteReservation,1745346265.877249,1552689,12,1
2,FindFlights,1745346265.877708,496160,13,1
3,FindOpenSeats,1745346265.878940,5681,11,1
3,FindOpenSeats,1745346265.884654,5938,11,1
3,FindOpenSeats,1745346265.885011,4944,6,1
6,UpdateReservation,1745346265.885117,116,9,1
2,FindFlights,1745346265.885224,650348,8,1
2,FindFlights,1745346265.885261,538657,9,1
1,DeleteReservation,1745346265.885286,1545931,4,1
3,FindOpenSeats,1745346265.885513,32338,1,1
1,DeleteReservation,1745346265.885822,17,16,1
3,FindOpenSeats,1745346265.885859,6032,16,1
6,UpdateReservation,1745346265.886310,35,19,1
2,FindFlights,1745346265.886358,513927,19,1
4,NewReservation,1745346265.886519,1525798,15,1
1,DeleteReservation,1745346265.886657,14,18,1
2,FindFlights,1745346265.886685,535155,18,1
5,UpdateCustomer,1745346265.886796,45278,2,1
3,FindOpenSeats,1745346265.887323,6330,3,1
3,FindOpenSeats,1745346265.889984,5950,6,1
3,FindOpenSeats,1745346265.890466,5872,0,1
4,NewReservation,1745346265.890619,10989,11,1
3,FindOpenSeats,1745346265.891917,4313,16,1
4,NewReservation,1745346265.893677,1519343,3,1
4,NewReservation,1745346265.895963,1517236,6,1
4,NewReservation,1745346265.896253,1516738,16,1
