Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,114,114.000,15,68,7893,373442,248524,1989319,2141244,2360298,2360831
1,16,16.000,17,37,10801,264384,468592,1006104,1317677,1317677,1317677
2,158,158.000,10,4712,6889,134189,24251,541598,1044369,1071296,1072896
3,123,123.000,8,5401,17081,204482,79517,953626,1387765,1441749,1449287
4,66,66.000,4,5588,8985,235955,484690,494781,513143,944281,944281
5,60,60.000,16,5674,8797,441489,1436486,1457338,1470466,1479600,1479600
6,71,71.000,28,5890,8317,173665,466327,504955,510360,808814,808814
7,70,70.000,208,6427,11429,433737,557650,1568747,1570472,1576816,1576816
8,49,49.000,36,7809,8830,50806,16906,93645,493511,504724,504724
9,117,117.000,29,5255,8810,244116,518294,1053810,1066162,1075131,1075375
10,79,79.000,36,6338,10361,200341,563603,611933,618142,618622,618622
11,58,58.000,4,5967,10952,334998,938821,963805,964365,970263,970263
12,68,68.000,36,5908,9986,282597,478091,955891,961026,962091,962091
13,96,96.000,3442,6036,9670,204123,474807,495998,501305,502435,502435
14,107,107.000,26,5682,9362,249750,470883,962642,971034,981665,994161
15,71,71.000,4258,6993,10641,272658,503089,970334,981804,988905,988905
16,89,89.000,3860,6217,10400,308541,488698,1886758,1897862,1907586,1907586
17,30,30.000,4946,6219,19289,440511,933086,1408431,1409578,1416507,1416507
18,42,42.000,18,6575,443539,249699,472905,480677,481107,482604,482604
19,118,118.000,13,6330,10050,241314,465398,956096,962084,967647,976085
20,123,123.000,20,6025,10398,164630,457770,539598,546132,916427,952496
21,86,86.000,18,6182,10340,126033,408105,472782,478354,499153,499153
22,168,168.000,15,5528,9858,223140,463370,494060,1542862,1566627,1575217
23,32,32.000,18,5742,11949,407758,1056789,1092464,1528842,1531510,1531510
24,96,96.000,3588,5537,10915,165905,23950,955190,991286,1005162,1005162
25,77,77.000,5,6075,10735,189194,478295,489116,496941,505341,505341
26,118,118.000,25,5909,9950,170996,463680,517762,537206,538786,544940
27,106,106.000,14,6367,11919,234220,463320,929096,963441,981262,988066
28,75,75.000,18,6375,10424,188783,467095,482945,497591,506876,506876
29,151,151.000,16,5713,8717,189399,463545,493644,937430,951935,952904
30,57,57.000,4695,7369,13108,336234,926859,954933,956053,962706,962706
31,67,67.000,3869,6829,10454,287425,523106,935082,941368,948249,948249
32,75,75.000,3379,5952,10411,251875,454044,935347,942710,944486,944486
33,72,72.000,3877,6251,10274,269685,478467,960928,973163,974376,974376
34,124,124.000,3151,6258,10465,166344,457889,539528,551413,554441,557533
35,99,99.000,4103,8527,15450,282956,500954,948305,964215,965659,965659
36,68,68.000,13,5561,9431,163534,455016,480882,490756,493000,493000
37,115,115.000,3209,5984,10138,168283,463909,479133,483212,492628,501520
38,123,123.000,29,5882,10311,209829,466597,930141,947435,960518,967316
39,102,102.000,28,6152,9080,130144,452819,472094,482846,484705,501307
40,104,104.000,60,6243,8967,259253,479146,976869,985435,991430,1002390
41,78,78.000,3650,6668,11547,172315,475158,542988,554752,561605,561605
42,128,128.000,3687,6040,9075,213508,474629,964264,983031,987835,990064
43,75,75.000,4326,6829,11684,167058,457032,468185,478710,490921,490921
44,64,64.000,3835,7642,12360,302430,923681,958828,962272,970377,970377
45,103,103.000,3717,6446,12577,282471,528009,993060,1012472,1015839,1020268
46,68,68.000,3897,7395,12342,473995,484054,1948513,1949226,1961624,1961624
47,19,19.000,5643,8540,13584,415953,495161,1488162,1491770,1491770,1491770
48,44,44.000,3928,6807,451164,377188,933122,936931,937451,944811,944811
49,74,74.000,3656,6354,9767,183423,481253,509593,517442,519230,519230
50,119,119.000,3978,6801,10835,247697,536132,951516,985391,986325,986764
51,55,55.000,4060,6962,11195,203647,470418,492325,493563,499044,499044
52,133,133.000,2950,6243,10728,267000,465099,1440679,1474344,1478630,1478798
53,16,16.000,5557,8645,455949,376678,1003592,1013959,1020315,1020315,1020315
54,82,82.000,157,8260,15980,234872,472778,483016,489572,490177,490177
55,84,84.000,3522,7123,25984,411698,571184,1428332,1434181,1448306,1448306
56,26,26.000,5420,6830,12859,218759,466987,471688,484270,948908,948908
57,100,100.000,3810,5720,8626,196000,457862,958705,977671,988979,988979
58,71,71.000,4621,7567,12276,286755,508671,1009522,1013265,1024223,1024223
59,52,52.000,4367,6149,8801,79075,13924,462047,474977,484059,484059
