Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.200,204.337,0.004,0.017,0.044,51.132,1030.353,1429.761,1449.287,1449.287,0.005
5,7.000,478.742,0.016,13.589,93.645,1070.214,1456.177,1565.582,1570.659,1570.659,0.002
10,9.400,534.272,0.004,459.598,495.998,931.870,961.869,964.046,971.563,971.563,0.002
15,7.600,671.269,0.013,19.075,936.915,966.909,1409.578,1897.862,1907.586,1907.586,0.001
20,8.800,438.065,0.015,13.125,457.177,952.496,1081.573,1528.842,1551.178,1551.178,0.002
25,10.800,387.188,0.014,17.187,477.208,499.770,941.162,951.935,963.441,963.441,0.003
30,8.000,624.857,5.002,456.402,550.525,942.710,966.021,973.163,973.195,973.195,0.002
35,8.800,547.812,0.013,447.349,478.685,945.043,964.215,964.553,965.659,965.659,0.002
40,7.200,506.947,4.637,441.449,481.811,954.577,983.499,991.430,1002.390,1002.390,0.002
45,5.800,799.898,5.506,498.547,534.929,1015.233,1939.273,1945.516,1951.456,1951.456,0.001
50,9.400,508.920,5.360,25.395,481.924,579.483,1013.819,1458.420,1478.487,1478.487,0.002
55,4.800,764.404,4.933,486.816,977.995,1024.223,1423.561,1430.322,1430.607,1430.607,0.001
