Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,613,613.000,2300,3213,4804,34583,63199,98364,123225,266467,298781
1,562,562.000,1597,3005,3678,36047,60416,107132,152410,268000,372771
2,429,429.000,2066,2949,3619,51075,78543,201158,281656,386407,469960
3,521,521.000,2166,2939,3708,34250,72177,101772,122270,195012,225157
4,689,689.000,2197,2960,3765,29850,47370,98200,116914,189262,290676
5,451,451.000,2055,2933,3675,45476,80288,174687,204932,285961,299617
6,350,350.000,2293,3163,4482,57233,84208,183336,210189,582739,703316
7,208,208.000,2112,3051,4018,90294,91720,212963,607062,688036,693661
8,516,516.000,1919,2886,3417,37187,66305,107029,156866,303094,504497
9,464,464.000,2162,2988,3519,45796,84657,157555,202302,264712,424072
10,715,715.000,1971,2915,3499,26753,31041,100324,113975,177077,207630
11,560,560.000,2001,2967,3499,39128,46533,119381,198986,374279,475719
12,465,465.000,2010,2982,3477,40738,75550,114798,194074,267876,299568
13,709,709.000,1982,2924,3513,27603,34676,94223,111770,188290,292815
14,416,416.000,1760,3022,3772,50388,62091,161333,280066,481107,577259
15,503,503.000,1955,3010,3686,38454,66543,112285,180000,272880,434835
16,527,527.000,2065,2939,3439,40531,32364,99287,175459,587620,702722
17,354,354.000,1943,3014,3656,50318,82016,153037,215762,447746,469556
18,489,489.000,2001,2913,3452,39800,73125,116695,191720,284346,375535
19,534,534.000,1949,2841,3462,40847,55095,114837,216262,284821,463080
20,391,391.000,2032,2934,3431,48492,76647,178531,217437,358188,409266
21,594,594.000,2020,2894,3646,34243,69405,98775,119932,204064,303370
22,437,437.000,2071,2938,3835,45394,78258,128267,205626,254189,487512
23,641,641.000,2000,2857,3380,31354,37311,104906,134798,206692,379178
24,748,748.000,1843,2845,3300,26533,31431,90411,112771,195649,415749
25,539,539.000,1912,2910,4302,40993,52418,102989,162695,476321,675295
26,469,469.000,1946,2974,3495,39117,39496,112034,177856,411879,598498
27,634,634.000,1941,2812,3472,31599,43670,101683,130016,211041,274463
28,526,526.000,2185,2872,3499,36447,54659,106547,178441,332665,388787
29,528,528.000,1879,2934,3558,43869,33939,131845,306875,362909,562223
30,503,503.000,1852,2748,3187,33747,41486,113663,175779,284263,300801
31,498,498.000,2031,2861,3495,48998,62537,116687,210706,668088,700759
32,332,332.000,2208,3049,3873,53341,56787,127090,319322,563558,665146
33,480,480.000,1750,2933,3532,37937,73414,110160,158595,290140,502916
34,621,621.000,2023,2831,3507,30957,48143,99037,122242,202349,320975
35,757,757.000,1783,2897,3670,27813,41082,92711,113151,164807,170385
36,589,589.000,1916,2919,3521,38160,43589,111798,173233,444096,579365
37,449,449.000,2059,2886,3399,38045,67046,112520,186728,292684,403557
38,524,524.000,1835,2960,3626,38261,58253,116049,172653,253898,497357
39,457,457.000,1813,2907,3701,50423,80180,120902,197979,422872,672493
40,371,371.000,2101,2979,3682,49488,57582,112095,317806,526323,689659
41,376,376.000,1914,2844,3492,48203,35718,165079,302065,574633,696838
42,548,548.000,2151,3129,3939,42319,61882,116799,172964,368513,545924
43,525,525.000,1973,2844,3395,31493,36951,93089,174531,262130,284535
44,707,707.000,1954,2899,3587,30194,44373,100201,123563,198423,304012
45,573,573.000,1659,2901,3721,32949,47169,99386,128335,296336,357810
46,549,549.000,2021,2888,3534,41381,77351,119198,170029,301938,489538
47,523,523.000,1881,2918,3408,35724,49297,116196,176596,300140,400440
48,528,528.000,2082,2944,3457,37026,69238,114903,169390,227004,299432
49,878,878.000,1734,2800,3249,21378,21875,74184,103949,188084,233361
50,551,551.000,1872,2844,3597,37244,74573,104744,135351,203776,274507
51,584,584.000,1936,2861,3432,33807,64681,112167,128940,214251,314359
52,606,606.000,2034,2845,3496,33587,57849,106526,123899,215888,299685
53,532,532.000,1987,2828,3482,36368,43823,115252,186980,240746,297286
54,584,584.000,1994,2901,3472,37035,59718,120612,144476,269422,471140
55,473,473.000,2112,2976,3657,44803,60512,154788,215648,373117,490147
56,403,403.000,2003,3005,3557,54422,71699,181729,299483,431375,499582
57,317,317.000,1900,2877,3615,49099,72481,126471,263667,324170,467380
58,499,499.000,2147,2856,3480,41350,56066,127163,220778,271802,390886
59,495,495.000,2006,2852,3353,28723,39799,94225,115660,228128,340985
