Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,106.600,195.059,0.005,5.674,9.727,216.037,560.301,983.035,2044.865,2058.157,0.005
5,119.400,177.335,0.004,5.813,9.461,60.457,549.529,1005.784,1447.204,1474.096,0.006
10,86.000,217.245,0.011,6.035,10.017,478.970,579.632,1010.177,1047.773,1061.197,0.005
15,77.400,261.317,0.029,6.100,10.692,491.506,977.764,1001.431,1028.419,1028.855,0.004
20,84.200,264.750,0.017,6.012,9.920,500.425,977.221,1073.122,1493.522,1494.645,0.004
25,85.800,229.315,0.018,6.184,10.042,482.182,967.017,1018.744,1064.412,1074.799,0.004
30,72.600,248.595,0.006,6.285,10.230,489.250,1008.420,1077.901,1623.101,1623.959,0.004
35,65.000,307.367,0.005,6.976,13.674,506.754,982.151,990.186,1027.651,1046.941,0.003
40,71.600,280.834,0.020,6.333,10.918,481.987,978.321,1070.461,1486.693,1498.488,0.004
45,85.800,238.845,3.021,6.114,10.463,489.692,557.899,1032.790,1070.095,1071.405,0.004
50,79.400,255.876,3.633,6.223,11.533,506.422,938.234,1008.641,1026.245,1038.850,0.004
55,72.800,210.708,3.534,6.172,9.974,486.883,560.619,1030.166,1112.333,1151.231,0.005
