Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadRecord,1750885511.878895,3820,11,1
1,ReadRecord,1750885511.879385,3531,16,1
1,ReadRecord,1750885511.882751,4023,11,1
1,ReadRecord,1750885511.882948,3612,16,1
1,ReadRecord,1750885511.884689,3929,47,1
1,ReadRecord,1750885511.884779,3814,8,1
5,DeleteRecord,1750885511.884814,100167,9,1
4,UpdateRecord,1750885511.885016,194781,46,1
5,DeleteRecord,1750885511.886124,125523,24,1
1,ReadRecord,1750885511.886158,4093,18,1
1,ReadRecord,1750885511.886252,3399,48,1
1,ReadRecord,1750885511.886330,411914,5,1
2,InsertRecord,1750885511.886592,32511,16,1
4,UpdateRecord,1750885511.886812,826554,11,1
3,ScanRecord,1750885511.888625,129975,8,1
3,ScanRecord,1750885511.888649,518743,47,1
1,ReadRecord,1750885511.889683,3389,48,1
4,UpdateRecord,1750885511.890286,221197,18,1
1,ReadRecord,1750885511.893104,93215,48,1
3,ScanRecord,1750885511.911667,849695,22,1
4,UpdateRecord,1750885511.918655,237425,34,1
1,ReadRecord,1750885511.919146,3740,16,1
1,ReadRecord,1750885511.922920,89519,16,1
6,ReadModifyWriteRecord,1750885511.926412,153202,2,1
1,ReadRecord,1750885511.928446,3270,36,1
1,ReadRecord,1750885511.929624,56277,44,1
1,ReadRecord,1750885511.931758,3665,36,1
1,ReadRecord,1750885511.935455,3385,36,1
2,InsertRecord,1750885511.935691,16790,31,1
1,ReadRecord,1750885511.938873,48255,36,1
5,DeleteRecord,1750885511.951808,127159,41,1
2,InsertRecord,1750885511.952249,92441,40,1
4,UpdateRecord,1750885511.952356,203813,33,1
1,ReadRecord,1750885511.952519,3226,31,1
1,ReadRecord,1750885511.952756,3724,21,1
5,DeleteRecord,1750885511.953458,125684,49,1
4,UpdateRecord,1750885511.955787,159307,31,1
5,DeleteRecord,1750885511.956511,156103,21,1
4,UpdateRecord,1750885511.957286,1096508,23,1
1,ReadRecord,1750885511.984688,3646,27,1
5,DeleteRecord,1750885511.985030,126391,9,1
1,ReadRecord,1750885511.985698,3600,17,1
1,ReadRecord,1750885511.985946,3443,44,1
1,ReadRecord,1750885511.986352,4158,48,1
6,ReadModifyWriteRecord,1750885511.986520,727309,45,1
1,ReadRecord,1750885511.987162,3561,36,1
1,ReadRecord,1750885511.988371,3978,27,1
1,ReadRecord,1750885511.989329,3027,17,1
1,ReadRecord,1750885511.989422,2786,44,1
1,ReadRecord,1750885511.990548,54944,48,1
4,UpdateRecord,1750885511.990756,88435,36,1
3,ScanRecord,1750885511.992281,461798,44,1
1,ReadRecord,1750885511.992390,689951,17,1
1,ReadRecord,1750885511.992406,3160,27,1
1,ReadRecord,1750885511.995604,2994,27,1
3,ScanRecord,1750885511.995800,450344,29,1
1,ReadRecord,1750885511.998629,3263,27,1
1,ReadRecord,1750885512.001925,3124,27,1
1,ReadRecord,1750885512.005081,3117,27,1
6,ReadModifyWriteRecord,1750885512.008229,390756,27,1
3,ScanRecord,1750885512.011643,12025,7,1
1,ReadRecord,1750885512.011694,34207,24,1
4,UpdateRecord,1750885512.012485,67159,16,1
