Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,52.600,443.347,3.900,239.462,468.736,630.860,762.607,804.291,929.786,967.700,0.002
5,55.400,417.598,3.217,218.941,465.101,614.298,699.755,740.571,784.799,867.585,0.002
10,58.600,423.014,2.545,324.697,458.911,566.170,637.120,680.517,853.903,889.345,0.002
15,58.000,323.624,3.143,224.141,340.511,445.592,528.192,578.623,636.755,659.076,0.003
20,86.200,267.648,3.394,139.414,296.752,388.825,448.298,493.654,569.840,617.072,0.004
25,81.800,351.177,3.284,211.766,347.000,520.371,617.335,668.232,749.581,831.128,0.003
30,81.600,230.190,3.115,87.521,236.505,353.749,439.024,492.903,599.664,646.785,0.004
35,85.000,236.786,3.239,99.049,226.051,350.486,455.828,529.037,583.028,612.754,0.004
40,88.600,225.927,2.783,81.420,224.782,335.434,446.278,509.123,607.301,671.209,0.004
45,97.600,194.459,2.376,63.979,195.009,291.017,370.384,430.813,683.448,729.052,0.005
50,79.200,164.112,2.255,64.822,158.218,240.218,315.230,377.787,495.138,522.403,0.006
55,78.400,203.092,3.655,84.666,204.613,308.787,377.290,422.490,529.122,544.105,0.005
