Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,UpdateRecord,1745423332.435312,51709,7,1
3,ScanRecord,1745423332.436834,31755,17,1
1,ReadRecord,1745423332.449577,4784,0,1
1,ReadRecord,1745423332.454430,3870,0,1
6,ReadModifyWriteRecord,1745423332.457731,56771,16,1
5,DeleteRecord,1745423332.457854,101061,5,1
6,ReadModifyWriteRecord,1745423332.457907,64650,2,1
1,ReadRecord,1745423332.457909,5747,4,1
6,ReadModifyWriteRecord,1745423332.458333,63992,0,1
1,ReadRecord,1745423332.459312,4119,19,1
5,DeleteRecord,1745423332.459337,63199,13,1
5,DeleteRecord,1745423332.459338,55022,14,1
6,ReadModifyWriteRecord,1745423332.459364,63230,6,1
4,UpdateRecord,1745423332.459370,63162,18,1
5,DeleteRecord,1745423332.459378,55024,8,1
1,ReadRecord,1745423332.459422,4526,3,1
1,ReadRecord,1745423332.459470,5348,12,1
5,DeleteRecord,1745423332.463469,59214,19,1
4,UpdateRecord,1745423332.463689,59046,4,1
1,ReadRecord,1745423332.463986,4664,3,1
1,ReadRecord,1745423332.464852,3836,12,1
1,ReadRecord,1745423332.466260,4307,10,1
1,ReadRecord,1745423332.468689,4165,3,1
1,ReadRecord,1745423332.468723,3656,12,1
2,InsertRecord,1745423332.468966,53713,17,1
6,ReadModifyWriteRecord,1745423332.470607,52137,10,1
6,ReadModifyWriteRecord,1745423332.472412,50178,12,1
4,UpdateRecord,1745423332.472888,49833,3,1
1,ReadRecord,1745423332.473601,4314,9,1
4,UpdateRecord,1745423332.476125,46521,15,1
4,UpdateRecord,1745423332.477947,44614,9,1
1,ReadRecord,1745423332.480598,4162,1,1
6,ReadModifyWriteRecord,1745423332.484793,47244,1,1
6,ReadModifyWriteRecord,1745423332.487055,45023,7,1
1,ReadRecord,1745423332.514143,5053,11,1
1,ReadRecord,1745423332.514394,5372,14,1
5,DeleteRecord,1745423332.514435,44677,8,1
1,ReadRecord,1745423332.514533,4758,16,1
1,ReadRecord,1745423332.519228,3571,11,1
6,ReadModifyWriteRecord,1745423332.519335,39799,16,1
1,ReadRecord,1745423332.519799,4928,14,1
1,ReadRecord,1745423332.522370,4665,0,1
1,ReadRecord,1745423332.522569,5221,18,1
1,ReadRecord,1745423332.522575,5430,13,1
4,UpdateRecord,1745423332.522602,38679,2,1
1,ReadRecord,1745423332.522628,5151,9,1
1,ReadRecord,1745423332.522631,5475,12,1
5,DeleteRecord,1745423332.522645,38280,6,1
1,ReadRecord,1745423332.522688,5272,15,1
4,UpdateRecord,1745423332.522721,38470,17,1
6,ReadModifyWriteRecord,1745423332.522732,54995,19,1
5,DeleteRecord,1745423332.522755,38404,3,1
5,DeleteRecord,1745423332.522769,38316,4,1
1,ReadRecord,1745423332.522781,5166,10,1
3,ScanRecord,1745423332.522838,41049,11,1
4,UpdateRecord,1745423332.524759,52778,14,1
1,ReadRecord,1745423332.527076,5133,0,1
1,ReadRecord,1745423332.527822,5508,9,1
1,ReadRecord,1745423332.527828,4269,18,1
1,ReadRecord,1745423332.527999,3955,10,1
3,ScanRecord,1745423332.528014,44420,15,1
1,ReadRecord,1745423332.528036,4622,13,1
3,ScanRecord,1745423332.528138,7548,12,1
1,ReadRecord,1745423332.531988,4400,10,1
1,ReadRecord,1745423332.532072,4118,1,1
3,ScanRecord,1745423332.532111,75457,7,1
1,ReadRecord,1745423332.532130,4664,18,1
1,ReadRecord,1745423332.532241,4512,0,1
5,DeleteRecord,1745423332.532707,45036,13,1
1,ReadRecord,1745423332.533363,4120,9,1
4,UpdateRecord,1745423332.535726,61065,12,1
1,ReadRecord,1745423332.536223,3858,1,1
4,UpdateRecord,1745423332.536427,60389,10,1
4,UpdateRecord,1745423332.536787,86077,0,1
1,ReadRecord,1745423332.536827,4203,18,1
5,DeleteRecord,1745423332.537516,95949,9,1
1,ReadRecord,1745423332.540114,3676,1,1
1,ReadRecord,1745423332.541065,3943,18,1
6,ReadModifyWriteRecord,1745423332.543823,163389,1,1
6,ReadModifyWriteRecord,1745423332.545041,51726,18,1
3,ScanRecord,1745423332.558950,62160,5,1
1,ReadRecord,1745423332.559148,4249,8,1
4,UpdateRecord,1745423332.559166,54989,16,1
1,ReadRecord,1745423332.560958,3570,6,1
3,ScanRecord,1745423332.561119,46126,4,1
1,ReadRecord,1745423332.561211,4024,3,1
5,DeleteRecord,1745423332.561225,52866,17,1
1,ReadRecord,1745423332.561325,4665,2,1
1,ReadRecord,1745423332.563465,3811,8,1
3,ScanRecord,1745423332.563920,65040,11,1
1,ReadRecord,1745423332.564560,4010,6,1
2,InsertRecord,1745423332.565266,92159,3,1
1,ReadRecord,1745423332.566021,3760,2,1
1,ReadRecord,1745423332.567308,3469,8,1
1,ReadRecord,1745423332.568605,3833,6,1
1,ReadRecord,1745423332.569813,4045,2,1
1,ReadRecord,1745423332.570810,3728,8,1
1,ReadRecord,1745423332.572479,3846,6,1
3,ScanRecord,1745423332.572479,35710,15,1
3,ScanRecord,1745423332.573890,94601,2,1
1,ReadRecord,1745423332.574569,4355,8,1
1,ReadRecord,1745423332.576356,5824,6,1
1,ReadRecord,1745423332.577585,4655,14,1
6,ReadModifyWriteRecord,1745423332.577760,79740,19,1
5,DeleteRecord,1745423332.577776,45023,13,1
3,ScanRecord,1745423332.578955,21887,8,1
3,ScanRecord,1745423332.582212,21239,6,1
1,ReadRecord,1745423332.582271,3692,14,1
4,UpdateRecord,1745423332.585996,36650,14,1
1,ReadRecord,1745423332.596817,4357,18,1
1,ReadRecord,1745423332.596825,4398,12,1
4,UpdateRecord,1745423332.596849,60577,10,1
3,ScanRecord,1745423332.600891,57531,8,1
6,ReadModifyWriteRecord,1745423332.601207,32250,18,1
1,ReadRecord,1745423332.601254,4218,12,1
5,DeleteRecord,1745423332.603484,29908,6,1
6,ReadModifyWriteRecord,1745423332.605504,52048,12,1
6,ReadModifyWriteRecord,1745423332.607290,50141,4,1
6,ReadModifyWriteRecord,1745423332.607602,99452,7,1
4,UpdateRecord,1745423332.608255,49205,15,1
4,UpdateRecord,1745423332.614130,43296,17,1
1,ReadRecord,1745423332.614201,4028,16,1
1,ReadRecord,1745423332.618263,3970,16,1
2,InsertRecord,1745423332.621182,57637,5,1
1,ReadRecord,1745423332.622269,3876,16,1
1,ReadRecord,1745423332.622681,3976,14,1
1,ReadRecord,1745423332.622831,36651,13,1
3,ScanRecord,1745423332.622896,46858,0,1
3,ScanRecord,1745423332.626175,55234,16,1
6,ReadModifyWriteRecord,1745423332.626756,52140,14,1
1,ReadRecord,1745423332.629143,3712,11,1
4,UpdateRecord,1745423332.632962,45790,11,1
5,DeleteRecord,1745423332.633424,45309,6,1
6,ReadModifyWriteRecord,1745423332.633486,73878,18,1
4,UpdateRecord,1745423332.633500,45310,9,1
1,ReadRecord,1745423332.657576,4991,10,1
6,ReadModifyWriteRecord,1745423332.657579,49596,17,1
5,DeleteRecord,1745423332.657594,49628,19,1
1,ReadRecord,1745423332.657600,4721,12,1
3,ScanRecord,1745423332.657608,38891,4,1
1,ReadRecord,1745423332.657653,4899,3,1
3,ScanRecord,1745423332.657775,50396,15,1
1,ReadRecord,1745423332.658464,5136,8,1
1,ReadRecord,1745423332.659515,3714,13,1
3,ScanRecord,1745423332.662352,39561,12,1
1,ReadRecord,1745423332.662587,4078,3,1
1,ReadRecord,1745423332.662595,4071,10,1
5,DeleteRecord,1745423332.663254,74552,13,1
5,DeleteRecord,1745423332.663629,43746,8,1
3,ScanRecord,1745423332.666755,25099,10,1
3,ScanRecord,1745423332.666925,34338,3,1
6,ReadModifyWriteRecord,1745423332.668518,38627,2,1
4,UpdateRecord,1745423332.669822,47460,0,1
2,InsertRecord,1745423332.678767,38566,6,1
3,ScanRecord,1745423332.678772,48951,11,1
1,ReadRecord,1745423332.678834,4360,9,1
1,ReadRecord,1745423332.678844,4362,5,1
1,ReadRecord,1745423332.678914,4055,14,1
5,DeleteRecord,1745423332.681427,35888,16,1
6,ReadModifyWriteRecord,1745423332.682986,54615,14,1
4,UpdateRecord,1745423332.683211,54504,9,1
2,InsertRecord,1745423332.683230,54490,5,1
1,ReadRecord,1745423332.691880,3808,10,1
1,ReadRecord,1745423332.695713,3677,10,1
4,UpdateRecord,1745423332.696519,41111,4,1
3,ScanRecord,1745423332.699416,46461,10,1
3,ScanRecord,1745423332.701290,18685,3,1
1,ReadRecord,1745423332.701941,3745,12,1
5,DeleteRecord,1745423332.705705,32002,12,1
2,InsertRecord,1745423332.707078,30536,7,1
1,ReadRecord,1745423332.707172,4588,2,1
1,ReadRecord,1745423332.707197,4345,17,1
1,ReadRecord,1745423332.707236,3549,1,1
3,ScanRecord,1745423332.707244,19283,19,1
3,ScanRecord,1745423332.707389,44219,18,1
1,ReadRecord,1745423332.707398,4693,8,1
1,ReadRecord,1745423332.708190,3575,15,1
1,ReadRecord,1745423332.710805,3961,1,1
1,ReadRecord,1745423332.711565,3917,17,1
1,ReadRecord,1745423332.711778,4353,2,1
3,ScanRecord,1745423332.711786,15764,15,1
1,ReadRecord,1745423332.712110,3769,8,1
1,ReadRecord,1745423332.714784,3472,1,1
3,ScanRecord,1745423332.715508,6952,17,1
3,ScanRecord,1745423332.715903,41833,8,1
1,ReadRecord,1745423332.716153,3524,2,1
1,ReadRecord,1745423332.717300,4062,0,1
1,ReadRecord,1745423332.717335,3364,16,1
1,ReadRecord,1745423332.717355,3848,6,1
1,ReadRecord,1745423332.718275,3189,1,1
1,ReadRecord,1745423332.719697,3342,2,1
5,DeleteRecord,1745423332.719995,17721,3,1
6,ReadModifyWriteRecord,1745423332.720718,43278,16,1
1,ReadRecord,1745423332.721220,3548,6,1
5,DeleteRecord,1745423332.721381,42425,0,1
4,UpdateRecord,1745423332.721482,42496,1,1
3,ScanRecord,1745423332.722478,32936,17,1
5,DeleteRecord,1745423332.723055,40955,2,1
3,ScanRecord,1745423332.724783,18102,6,1
1,ReadRecord,1745423332.726553,4847,19,1
1,ReadRecord,1745423332.727567,3497,15,1
4,UpdateRecord,1745423332.727742,36153,11,1
5,DeleteRecord,1745423332.731081,54912,15,1
5,DeleteRecord,1745423332.731418,54475,19,1
4,UpdateRecord,1745423332.737622,48346,14,1
1,ReadRecord,1745423332.737642,4987,7,1
6,ReadModifyWriteRecord,1745423332.737651,48554,4,1
4,UpdateRecord,1745423332.737732,48606,12,1
2,InsertRecord,1745423332.737739,48510,3,1
5,DeleteRecord,1745423332.737751,48247,9,1
3,ScanRecord,1745423332.737755,61298,5,1
4,UpdateRecord,1745423332.737826,48250,13,1
1,ReadRecord,1745423332.742648,3580,7,1
1,ReadRecord,1745423332.742903,4329,6,1
2,InsertRecord,1745423332.745914,40441,10,1
1,ReadRecord,1745423332.746248,4013,7,1
1,ReadRecord,1745423332.747249,3629,6,1
1,ReadRecord,1745423332.750279,4361,7,1
5,DeleteRecord,1745423332.750896,35551,6,1
1,ReadRecord,1745423332.751632,3666,18,1
1,ReadRecord,1745423332.754660,3575,7,1
1,ReadRecord,1745423332.755317,3536,18,1
1,ReadRecord,1745423332.755432,3792,17,1
1,ReadRecord,1745423332.757756,3323,8,1
6,ReadModifyWriteRecord,1745423332.758258,71413,7,1
6,ReadModifyWriteRecord,1745423332.758872,27337,18,1
4,UpdateRecord,1745423332.759244,27141,17,1
3,ScanRecord,1745423332.761097,37575,8,1
1,ReadRecord,1745423332.763831,3893,0,1
1,ReadRecord,1745423332.763915,24419,11,1
1,ReadRecord,1745423332.763996,5327,1,1
2,InsertRecord,1745423332.764017,22269,16,1
2,InsertRecord,1745423332.764029,22284,2,1
1,ReadRecord,1745423332.767744,4108,0,1
1,ReadRecord,1745423332.769345,4025,1,1
3,ScanRecord,1745423332.771871,6238,0,1
1,ReadRecord,1745423332.773389,3577,1,1
6,ReadModifyWriteRecord,1745423332.776983,44109,1,1
1,ReadRecord,1745423332.778127,3798,0,1
1,ReadRecord,1745423332.781943,4328,0,1
1,ReadRecord,1745423332.785911,3665,19,1
4,UpdateRecord,1745423332.785995,44064,14,1
1,ReadRecord,1745423332.786015,4450,15,1
1,ReadRecord,1745423332.786025,3927,9,1
1,ReadRecord,1745423332.786093,4494,13,1
5,DeleteRecord,1745423332.786237,43577,4,1
5,DeleteRecord,1745423332.786241,43564,18,1
1,ReadRecord,1745423332.786276,4799,3,1
6,ReadModifyWriteRecord,1745423332.786289,60715,0,1
1,ReadRecord,1745423332.786307,4878,16,1
1,ReadRecord,1745423332.786333,4922,2,1
1,ReadRecord,1745423332.786366,4888,12,1
4,UpdateRecord,1745423332.786380,43550,10,1
3,ScanRecord,1745423332.786406,31868,17,1
5,DeleteRecord,1745423332.786470,42965,6,1
5,DeleteRecord,1745423332.788354,41093,11,1
5,DeleteRecord,1745423332.789594,39851,19,1
1,ReadRecord,1745423332.789977,4114,9,1
1,ReadRecord,1745423332.790485,4011,15,1
1,ReadRecord,1745423332.790606,3821,13,1
3,ScanRecord,1745423332.791094,69144,3,1
