Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,432.400,4.965,2.862,3.657,3.967,4.400,5.343,9.718,33.455,84.168,0.201
5,375.400,4.006,2.763,3.601,3.861,4.195,4.544,4.813,5.520,44.995,0.250
10,322.200,3.951,2.844,3.475,3.700,3.999,4.311,4.544,5.416,95.171,0.253
15,329.000,3.803,2.614,3.467,3.703,4.009,4.328,4.600,5.272,17.814,0.263
20,299.400,3.934,2.920,3.571,3.814,4.080,4.411,4.667,5.416,47.582,0.254
25,313.400,3.822,2.818,3.479,3.706,3.982,4.269,4.530,5.306,24.092,0.262
30,321.600,3.903,2.662,3.463,3.721,4.006,4.359,4.745,8.989,24.288,0.256
35,358.600,3.748,2.724,3.441,3.687,3.945,4.257,4.486,5.021,28.622,0.267
40,318.400,3.690,2.610,3.406,3.628,3.898,4.185,4.403,4.985,25.172,0.271
45,335.800,3.658,2.747,3.376,3.597,3.877,4.154,4.330,4.826,14.376,0.273
50,312.000,3.736,2.669,3.439,3.673,3.936,4.220,4.424,4.886,38.050,0.268
55,333.600,3.715,2.603,3.432,3.646,3.904,4.237,4.459,5.251,14.585,0.269
