Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,40,40.000,311299,466552,587251,741981,1016542,1393499,1535578,1702921,1702921
1,26,26.000,311437,316697,606662,672944,792940,1278805,1279747,1615249,1615249
2,34,34.000,311223,316682,465514,528631,608205,933880,1260340,1261963,1261963
3,48,48.000,309797,314935,399994,401937,474162,609079,624799,780874,780874
4,43,43.000,309430,313502,468566,545147,609510,1083983,1445447,1792180,1792180
5,39,39.000,310328,312605,316394,397754,468183,606797,831394,1297435,1297435
6,56,56.000,309921,312343,316079,364519,410601,475261,475742,609231,609231
7,55,55.000,310381,312301,316411,365431,404500,474429,607732,813729,813729
8,55,55.000,310510,313180,316368,364494,405540,471938,608082,802320,802320
9,53,53.000,310898,313258,317134,356051,404897,468982,474145,505289,505289
10,58,58.000,309791,312690,316446,357778,406085,472119,476017,547020,547020
11,58,58.000,310326,311385,315913,345317,326147,469810,473481,609453,609453
12,57,57.000,309627,312097,316424,346207,401705,410827,469516,476501,476501
13,59,59.000,310520,312479,315632,343500,320237,407134,474039,812074,812074
14,56,56.000,310363,311940,316112,357078,404340,470661,600448,629474,629474
15,56,56.000,310242,312035,317503,368597,412766,475793,601619,609595,609595
16,54,54.000,310257,311811,316490,356100,402635,471639,476337,610015,610015
17,58,58.000,310501,311842,315753,343168,322845,406579,477207,610833,610833
18,60,60.000,310103,313352,316988,347628,399943,467456,473820,612610,612610
19,56,56.000,310287,312337,315851,389285,404724,466844,474589,1784926,1784926
20,51,51.000,310451,311553,315992,349214,404359,410003,473408,477313,477313
21,56,56.000,310660,311554,315815,350169,321778,469191,526798,609374,609374
22,57,57.000,309723,311657,316058,344339,322168,408882,477698,610821,610821
23,60,60.000,310335,312341,316179,351201,399909,470182,477341,609804,609804
24,55,55.000,309790,312388,316332,351083,404321,468983,471533,603035,603035
25,54,54.000,310711,312785,315950,409359,401425,412594,478257,2241362,2241362
26,53,53.000,310642,312317,316003,350046,400359,468285,476488,607992,607992
27,58,58.000,309871,312398,315977,339045,318712,405478,467994,474745,474745
28,57,57.000,309701,312317,316198,354492,399759,468919,601919,682991,682991
29,53,53.000,310036,312278,315840,352584,322599,466983,476157,735882,735882
30,56,56.000,310773,312525,316281,439658,400016,405757,998454,3182177,3182177
31,52,52.000,309914,312678,316003,349303,400159,468432,476069,607711,607711
32,49,49.000,310371,312812,316762,367191,405781,474116,477285,613492,613492
33,59,59.000,310496,311705,315849,341554,323035,413175,473758,477344,477344
34,59,59.000,310448,311794,315246,343609,321821,410853,476263,610340,610340
35,57,57.000,310142,311740,315691,342830,318066,412700,471715,610301,610301
36,61,61.000,309953,311317,315830,343815,322615,410330,469229,607150,607150
37,53,53.000,310700,313304,317436,416527,405174,471444,1130844,2271930,2271930
38,47,47.000,310753,313622,318744,383631,468684,476583,481382,609381,609381
39,55,55.000,310727,311805,315705,353784,401112,472052,476454,610704,610704
40,55,55.000,309389,311483,315693,404253,404117,476438,609012,2054132,2054132
41,49,49.000,310134,311828,315978,342145,322137,415709,471229,476576,476576
42,60,60.000,310468,312940,316514,358081,404611,470525,476835,609679,609679
43,51,51.000,310481,312240,316316,375572,400740,468229,475726,1768936,1768936
44,57,57.000,309966,313072,316031,349190,400173,466669,473974,606687,606687
45,59,59.000,309744,311231,315205,339655,320548,407041,474674,607676,607676
46,59,59.000,310167,312370,315934,343896,321217,407415,467458,609476,609476
47,59,59.000,310478,311961,315522,342645,326640,466065,475197,477483,477483
48,52,52.000,310345,311507,315797,416145,401209,474700,790088,2241254,2241254
49,50,50.000,310419,312236,315828,378061,405004,473895,478130,1133726,1133726
50,55,55.000,310101,311589,315958,349720,320487,470438,600017,607934,607934
51,51,51.000,309962,313069,316004,414795,405811,469549,601314,2249045,2249045
52,56,56.000,310388,311806,316003,338424,320270,405275,467837,469182,469182
53,54,54.000,310064,311980,315904,395016,404906,476028,975543,1308676,1308676
54,52,52.000,309961,312057,315978,362613,404301,475572,607614,610804,610804
55,58,58.000,310004,312118,315861,337387,317785,406042,471775,610767,610767
56,56,56.000,309846,311175,315517,385285,320018,470417,609472,2646504,2646504
57,51,51.000,310143,311164,315973,381959,325254,469715,609270,2055470,2055470
58,50,50.000,310278,311462,315282,334883,316946,411182,469044,610161,610161
59,35,35.000,310910,312312,315717,322882,317211,324354,406101,407982,407982
