Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1.600,633.675,353.108,409.611,614.364,1024.143,1216.801,1216.801,1216.801,1216.801,0.002
5,2.000,589.290,288.716,296.891,384.236,819.154,1387.659,1387.659,1387.659,1387.659,0.002
10,1.400,620.477,349.609,406.176,409.623,1027.735,1228.840,1228.840,1228.840,1228.840,0.002
15,2.400,495.543,307.267,368.141,409.557,501.523,616.138,1392.079,1392.079,1392.079,0.002
20,1.600,475.915,289.284,364.195,411.660,609.256,1023.907,1023.907,1023.907,1023.907,0.002
25,2.000,522.520,352.043,361.802,409.492,560.261,1159.399,1159.399,1159.399,1159.399,0.002
30,2.200,434.657,295.007,328.221,367.861,412.767,426.867,1121.230,1121.230,1121.230,0.002
35,2.600,414.273,306.926,368.155,409.390,409.755,614.365,614.549,614.549,614.549,0.002
40,2.200,441.265,292.106,348.690,409.376,423.089,454.614,1024.175,1024.175,1024.175,0.002
45,2.200,461.069,290.575,299.605,361.379,522.408,829.269,991.613,991.613,991.613,0.002
50,2.400,393.344,288.861,295.290,324.709,466.004,507.952,823.915,823.915,823.915,0.003
55,2.800,340.933,288.602,290.647,295.561,347.063,451.514,588.381,588.381,588.381,0.003
