Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
6,ReadModifyWriteRecord,1744845213.463380,50911,3,1
6,ReadModifyWriteRecord,1744845213.464377,49976,14,1
1,ReadRecord,1744845213.469203,3041,10,1
5,DeleteRecord,1744845213.469249,45139,12,1
1,ReadRecord,1744845213.469290,3342,1,1
1,ReadRecord,1744845213.469302,3302,8,1
1,ReadRecord,1744845213.469427,3265,15,1
1,ReadRecord,1744845213.469443,3133,16,1
3,ScanRecord,1744845213.469452,48706,9,1
1,ReadRecord,1744845213.470813,3102,2,1
2,InsertRecord,1744845213.471125,43244,17,1
1,ReadRecord,1744845213.472263,2969,10,1
1,ReadRecord,1744845213.472596,2727,16,1
1,ReadRecord,1744845213.472625,43551,8,1
3,ScanRecord,1744845213.472651,56308,1,1
5,DeleteRecord,1744845213.472724,51865,15,1
3,ScanRecord,1744845213.473940,53203,2,1
1,ReadRecord,1744845213.475252,2455,10,1
3,ScanRecord,1744845213.475344,7246,16,1
3,ScanRecord,1744845213.477728,55178,10,1
1,ReadRecord,1744845213.482608,2305,16,1
5,DeleteRecord,1744845213.484942,242870,16,1
6,ReadModifyWriteRecord,1744845213.505127,54771,0,1
1,ReadRecord,1744845213.505395,10919,13,1
6,ReadModifyWriteRecord,1744845213.505740,54276,4,1
1,ReadRecord,1744845213.514268,2885,11,1
5,DeleteRecord,1744845213.514310,45729,3,1
1,ReadRecord,1744845213.514379,3285,14,1
1,ReadRecord,1744845213.514388,3011,17,1
6,ReadModifyWriteRecord,1744845213.514409,45455,12,1
6,ReadModifyWriteRecord,1744845213.516196,245950,8,1
3,ScanRecord,1744845213.516334,11876,13,1
3,ScanRecord,1744845213.517174,6084,11,1
3,ScanRecord,1744845213.517420,99936,17,1
3,ScanRecord,1744845213.517686,56220,14,1
5,DeleteRecord,1744845213.518179,41860,9,1
1,ReadRecord,1744845213.523287,3369,11,1
1,ReadRecord,1744845213.524616,2949,15,1
1,ReadRecord,1744845213.526676,3094,11,1
4,UpdateRecord,1744845213.527183,32622,2,1
1,ReadRecord,1744845213.527585,2861,15,1
1,ReadRecord,1744845213.528230,2670,13,1
1,ReadRecord,1744845213.528980,2205,1,1
3,ScanRecord,1744845213.529789,89265,11,1
5,DeleteRecord,1744845213.530466,251963,15,1
1,ReadRecord,1744845213.530921,3007,13,1
3,ScanRecord,1744845213.531211,86279,1,1
2,InsertRecord,1744845213.532928,77162,10,1
1,ReadRecord,1744845213.533948,2284,13,1
1,ReadRecord,1744845213.536251,2631,13,1
1,ReadRecord,1744845213.538903,2818,13,1
1,ReadRecord,1744845213.541740,19709,13,1
1,ReadRecord,1744845213.559825,3070,2,1
6,ReadModifyWriteRecord,1744845213.559892,50190,12,1
2,InsertRecord,1744845213.559933,50140,0,1
3,ScanRecord,1744845213.559968,17622,5,1
1,ReadRecord,1744845213.560047,4000,4,1
3,ScanRecord,1744845213.560062,15428,3,1
6,ReadModifyWriteRecord,1744845213.560064,271696,9,1
1,ReadRecord,1744845213.560083,3502,7,1
1,ReadRecord,1744845213.561469,2645,13,1
1,ReadRecord,1744845213.562916,3037,2,1
1,ReadRecord,1744845213.563613,2487,7,1
6,ReadModifyWriteRecord,1744845213.564074,49589,4,1
6,ReadModifyWriteRecord,1744845213.564132,49491,13,1
1,ReadRecord,1744845213.565973,2763,2,1
4,UpdateRecord,1744845213.566126,47789,7,1
2,InsertRecord,1744845213.568756,45018,2,1
1,ReadRecord,1744845213.573941,3270,14,1
1,ReadRecord,1744845213.575512,2747,3,1
1,ReadRecord,1744845213.577251,2837,14,1
6,ReadModifyWriteRecord,1744845213.577611,45087,5,1
3,ScanRecord,1744845213.578284,61036,3,1
1,ReadRecord,1744845213.580107,29955,14,1
5,DeleteRecord,1744845213.610145,58233,0,1
3,ScanRecord,1744845213.610311,16902,14,1
5,DeleteRecord,1744845213.610349,58034,10,1
2,InsertRecord,1744845213.610387,57900,18,1
6,ReadModifyWriteRecord,1744845213.610506,57875,12,1
6,ReadModifyWriteRecord,1744845213.613643,54700,13,1
3,ScanRecord,1744845213.613683,77141,4,1
1,ReadRecord,1744845213.613838,3745,2,1
2,InsertRecord,1744845213.613935,54480,7,1
1,ReadRecord,1744845213.617401,6809,17,1
1,ReadRecord,1744845213.617513,2742,1,1
1,ReadRecord,1744845213.617662,2984,2,1
1,ReadRecord,1744845213.619138,2594,11,1
1,ReadRecord,1744845213.620275,3090,1,1
6,ReadModifyWriteRecord,1744845213.620664,63290,2,1
6,ReadModifyWriteRecord,1744845213.621753,46693,11,1
1,ReadRecord,1744845213.622721,2553,5,1
1,ReadRecord,1744845213.623383,2365,1,1
3,ScanRecord,1744845213.624230,65793,17,1
4,UpdateRecord,1744845213.625299,43075,5,1
1,ReadRecord,1744845213.625768,3431,1,1
1,ReadRecord,1744845213.627235,2754,14,1
1,ReadRecord,1744845213.629223,2770,1,1
1,ReadRecord,1744845213.630011,2467,14,1
3,ScanRecord,1744845213.632011,41762,1,1
1,ReadRecord,1744845213.632500,3084,14,1
1,ReadRecord,1744845213.635606,2771,14,1
1,ReadRecord,1744845213.638397,2772,14,1
2,InsertRecord,1744845213.639340,44566,3,1
1,ReadRecord,1744845213.641199,2760,14,1
5,DeleteRecord,1744845213.643990,40034,14,1
4,UpdateRecord,1744845213.668050,253186,19,1
3,ScanRecord,1744845213.668313,22107,18,1
1,ReadRecord,1744845213.668362,3261,13,1
6,ReadModifyWriteRecord,1744845213.668399,203172,5,1
3,ScanRecord,1744845213.668401,30930,10,1
1,ReadRecord,1744845213.668412,2917,0,1
1,ReadRecord,1744845213.668419,3184,12,1
2,InsertRecord,1744845213.668434,59069,7,1
3,ScanRecord,1744845213.668465,22734,11,1
1,ReadRecord,1744845213.671358,2479,0,1
3,ScanRecord,1744845213.671652,4813,13,1
1,ReadRecord,1744845213.671656,2643,12,1
1,ReadRecord,1744845213.673794,2328,1,1
1,ReadRecord,1744845213.673857,2693,0,1
1,ReadRecord,1744845213.674358,2788,12,1
3,ScanRecord,1744845213.676147,8289,1,1
5,DeleteRecord,1744845213.676485,51321,13,1
5,DeleteRecord,1744845213.676570,50824,0,1
1,ReadRecord,1744845213.677172,2844,12,1
1,ReadRecord,1744845213.680037,3020,12,1
6,ReadModifyWriteRecord,1744845213.683081,44731,12,1
1,ReadRecord,1744845213.683746,3125,6,1
3,ScanRecord,1744845213.683945,55956,3,1
2,InsertRecord,1744845213.683979,43781,2,1
3,ScanRecord,1744845213.684132,14563,14,1
1,ReadRecord,1744845213.684473,2861,1,1
6,ReadModifyWriteRecord,1744845213.686960,75262,6,1
6,ReadModifyWriteRecord,1744845213.687351,74907,1,1
1,ReadRecord,1744845213.690098,2802,17,1
5,DeleteRecord,1744845213.690442,272012,18,1
1,ReadRecord,1744845213.690850,3375,4,1
3,ScanRecord,1744845213.691218,7719,11,1
6,ReadModifyWriteRecord,1744845213.692915,306091,17,1
1,ReadRecord,1744845213.694240,2818,4,1
6,ReadModifyWriteRecord,1744845213.697071,65054,4,1
1,ReadRecord,1744845213.698723,3593,14,1
1,ReadRecord,1744845213.698954,2595,11,1
3,ScanRecord,1744845213.699347,15880,10,1
5,DeleteRecord,1744845213.701565,60688,11,1
1,ReadRecord,1744845213.702332,2782,14,1
1,ReadRecord,1744845213.705130,2718,14,1
1,ReadRecord,1744845213.707864,2657,14,1
6,ReadModifyWriteRecord,1744845213.710538,71672,14,1
1,ReadRecord,1744845213.715243,2725,10,1
1,ReadRecord,1744845213.718030,2475,10,1
1,ReadRecord,1744845213.720644,8725,10,1
4,UpdateRecord,1744845213.727413,34718,0,1
1,ReadRecord,1744845213.727524,2580,7,1
6,ReadModifyWriteRecord,1744845213.727773,34164,2,1
1,ReadRecord,1744845213.727824,3512,13,1
1,ReadRecord,1744845213.727830,3301,16,1
1,ReadRecord,1744845213.727830,3597,12,1
3,ScanRecord,1744845213.729381,4627,10,1
5,DeleteRecord,1744845213.730122,32017,7,1
4,UpdateRecord,1744845213.731146,31635,16,1
1,ReadRecord,1744845213.731348,2232,13,1
1,ReadRecord,1744845213.731441,2682,12,1
1,ReadRecord,1744845213.733593,3453,13,1
1,ReadRecord,1744845213.734024,29685,10,1
3,ScanRecord,1744845213.734136,49135,12,1
5,DeleteRecord,1744845213.737058,25703,13,1
1,ReadRecord,1744845213.739914,2794,3,1
6,ReadModifyWriteRecord,1744845213.742722,89170,3,1
6,ReadModifyWriteRecord,1744845213.761955,20459,2,1
5,DeleteRecord,1744845213.762152,20313,4,1
1,ReadRecord,1744845213.762155,3166,0,1
3,ScanRecord,1744845213.762161,16474,7,1
2,InsertRecord,1744845213.762163,20321,8,1
4,UpdateRecord,1744845213.762235,20189,6,1
4,UpdateRecord,1744845213.762266,20158,11,1
1,ReadRecord,1744845213.762270,3706,1,1
3,ScanRecord,1744845213.762778,18401,13,1
1,ReadRecord,1744845213.762793,3160,16,1
4,UpdateRecord,1744845213.763722,18770,10,1
1,ReadRecord,1744845213.765333,2389,0,1
1,ReadRecord,1744845213.765966,2569,16,1
1,ReadRecord,1744845213.765989,2721,1,1
3,ScanRecord,1744845213.767736,4042,0,1
5,DeleteRecord,1744845213.768548,13751,16,1
1,ReadRecord,1744845213.768723,2671,1,1
4,UpdateRecord,1744845213.771409,281428,1,1
4,UpdateRecord,1744845213.771792,10459,0,1
1,ReadRecord,1744845213.778653,2812,7,1
2,InsertRecord,1744845213.781193,32347,13,1
6,ReadModifyWriteRecord,1744845213.781482,51547,7,1
1,ReadRecord,1744845213.782226,2854,14,1
2,InsertRecord,1744845213.782265,49239,0,1
6,ReadModifyWriteRecord,1744845213.782313,51078,16,1
6,ReadModifyWriteRecord,1744845213.782439,51147,2,1
1,ReadRecord,1744845213.782443,2901,6,1
4,UpdateRecord,1744845213.782445,50684,11,1
1,ReadRecord,1744845213.782449,3281,15,1
1,ReadRecord,1744845213.782477,3466,4,1
3,ScanRecord,1744845213.782500,24603,8,1
1,ReadRecord,1744845213.782508,2924,10,1
3,ScanRecord,1744845213.783287,19587,12,1
3,ScanRecord,1744845213.785097,13202,14,1
5,DeleteRecord,1744845213.785361,315501,6,1
4,UpdateRecord,1744845213.785446,47968,10,1
5,DeleteRecord,1744845213.785741,47735,15,1
1,ReadRecord,1744845213.785957,2759,4,1
1,ReadRecord,1744845213.788736,2364,4,1
1,ReadRecord,1744845213.791115,3192,4,1
1,ReadRecord,1744845213.794326,3326,4,1
6,ReadModifyWriteRecord,1744845213.797665,52080,4,1
5,DeleteRecord,1744845213.798313,353554,14,1
1,ReadRecord,1744845213.802889,2539,12,1
4,UpdateRecord,1744845213.805439,44225,12,1
