Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,ScanRecord,1750889824.079955,461006,69,1
5,DeleteRecord,1750889824.080165,222167,41,1
5,DeleteRecord,1750889824.080427,69294,65,1
1,ReadRecord,1750889824.080439,10628,67,1
1,ReadRecord,1750889824.081352,74396,54,1
1,ReadRecord,1750889824.081497,10517,73,1
1,ReadRecord,1750889824.083195,72060,95,1
2,InsertRecord,1750889824.083263,65605,18,1
5,DeleteRecord,1750889824.083322,65594,34,1
1,ReadRecord,1750889824.083524,7949,48,1
1,ReadRecord,1750889824.083574,7057,71,1
5,DeleteRecord,1750889824.083865,65675,78,1
1,ReadRecord,1750889824.084092,7509,89,1
1,ReadRecord,1750889824.084118,71136,97,1
1,ReadRecord,1750889824.084146,7150,76,1
1,ReadRecord,1750889824.084431,6414,85,1
3,ScanRecord,1750889824.084468,77247,52,1
6,ReadModifyWriteRecord,1750889824.084810,64243,83,1
1,ReadRecord,1750889824.085203,6264,58,1
1,ReadRecord,1750889824.086294,6014,32,1
1,ReadRecord,1750889824.086388,68435,61,1
1,ReadRecord,1750889824.086600,5624,33,1
3,ScanRecord,1750889824.086691,22059,28,1
4,UpdateRecord,1750889824.086717,62998,50,1
5,DeleteRecord,1750889824.086850,62951,23,1
1,ReadRecord,1750889824.086920,7693,93,1
6,ReadModifyWriteRecord,1750889824.086933,296688,55,1
1,ReadRecord,1750889824.086959,5685,80,1
1,ReadRecord,1750889824.087107,71802,64,1
3,ScanRecord,1750889824.087348,402060,92,1
3,ScanRecord,1750889824.087665,363721,3,1
1,ReadRecord,1750889824.088064,9231,90,1
4,UpdateRecord,1750889824.088365,295402,45,1
1,ReadRecord,1750889824.089201,7721,99,1
1,ReadRecord,1750889824.090678,64584,71,1
5,DeleteRecord,1750889824.090783,59130,2,1
1,ReadRecord,1750889824.090905,6129,85,1
1,ReadRecord,1750889824.090927,5409,11,1
1,ReadRecord,1750889824.091119,6688,67,1
1,ReadRecord,1750889824.091328,63919,76,1
1,ReadRecord,1750889824.091508,5736,58,1
1,ReadRecord,1750889824.091530,4938,48,1
4,UpdateRecord,1750889824.091559,408061,27,1
3,ScanRecord,1750889824.091644,401567,89,1
5,DeleteRecord,1750889824.092060,349734,73,1
3,ScanRecord,1750889824.092143,211218,88,1
3,ScanRecord,1750889824.092272,470186,33,1
1,ReadRecord,1750889824.092350,5196,32,1
1,ReadRecord,1750889824.092691,5586,80,1
1,ReadRecord,1750889824.094668,5441,93,1
1,ReadRecord,1750889824.096452,8572,11,1
6,ReadModifyWriteRecord,1750889824.096515,66330,48,1
1,ReadRecord,1750889824.096974,6133,99,1
1,ReadRecord,1750889824.097070,6097,85,1
5,DeleteRecord,1750889824.097285,65519,58,1
1,ReadRecord,1750889824.097341,56745,90,1
3,ScanRecord,1750889824.097596,79658,32,1
6,ReadModifyWriteRecord,1750889824.097840,124876,67,1
1,ReadRecord,1750889824.098310,6332,80,1
1,ReadRecord,1750889824.100150,6124,93,1
1,ReadRecord,1750889824.103148,6530,99,1
5,DeleteRecord,1750889824.103206,59485,85,1
3,ScanRecord,1750889824.104702,369144,80,1
1,ReadRecord,1750889824.105069,51877,11,1
2,InsertRecord,1750889824.106319,65527,93,1
1,ReadRecord,1750889824.108808,52045,28,1
6,ReadModifyWriteRecord,1750889824.109718,333459,99,1
6,ReadModifyWriteRecord,1750889824.112303,59590,42,1
1,ReadRecord,1750889824.112538,5998,13,1
6,ReadModifyWriteRecord,1750889824.112542,59797,59,1
6,ReadModifyWriteRecord,1750889824.113260,446161,24,1
3,ScanRecord,1750889824.113378,201011,62,1
1,ReadRecord,1750889824.115806,6280,96,1
1,ReadRecord,1750889824.118669,5714,13,1
1,ReadRecord,1750889824.118965,41733,14,1
1,ReadRecord,1750889824.122166,6424,96,1
4,UpdateRecord,1750889824.124420,532245,13,1
6,ReadModifyWriteRecord,1750889824.126252,48497,31,1
1,ReadRecord,1750889824.127588,5295,29,1
1,ReadRecord,1750889824.128643,7074,96,1
1,ReadRecord,1750889824.132924,8685,29,1
1,ReadRecord,1750889824.133543,7947,38,1
3,ScanRecord,1750889824.135770,176594,96,1
5,DeleteRecord,1750889824.141553,541147,38,1
