Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,102.600,333.217,8.782,46.451,61.061,90.801,1022.394,2712.241,3048.476,3210.561,0.003
5,82.000,370.277,10.151,32.939,41.721,54.211,2982.173,3107.820,3231.482,3341.012,0.003
10,77.200,463.654,8.662,28.560,41.719,56.409,3138.355,3362.456,3645.298,3750.573,0.002
15,68.800,491.129,7.944,29.579,40.253,63.280,3277.514,3505.247,3631.309,3669.936,0.002
20,72.000,489.673,7.884,28.749,41.338,60.682,3284.699,3491.981,3600.365,3654.865,0.002
25,66.400,502.746,8.701,31.198,44.968,72.156,3360.538,3553.196,3695.213,3768.014,0.002
30,64.800,439.506,8.343,28.566,41.071,60.904,3380.991,3723.727,3822.624,3921.180,0.002
35,71.400,413.986,9.774,28.792,42.570,60.214,3524.581,3753.452,3843.745,3892.473,0.002
40,72.400,416.136,7.625,30.492,43.934,63.873,164.642,3786.694,3916.014,3948.276,0.002
45,71.000,455.913,9.501,29.253,45.049,70.817,3228.124,3457.456,3732.876,4090.940,0.002
50,53.000,703.646,11.002,33.197,52.304,86.153,4598.133,5585.986,6319.966,6388.089,0.001
55,35.400,70.594,7.505,35.787,58.467,92.415,128.814,165.733,250.692,250.850,0.014
60,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
