Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1011.800,122.095,3.011,4.377,18.516,62.017,108.053,385.637,2968.825,3241.715,0.008
5,787.400,130.803,2.783,3.781,5.025,41.480,57.806,79.005,3191.083,3341.012,0.008
10,702.000,144.722,2.654,3.728,5.640,39.362,59.141,86.674,3500.101,3776.927,0.007
15,655.000,149.722,2.348,3.687,6.510,36.405,61.051,93.846,3523.283,3669.936,0.007
20,658.200,161.006,2.039,3.676,6.227,36.674,60.473,93.421,3529.359,3698.934,0.006
25,686.800,138.470,2.682,3.664,4.888,37.143,62.700,92.266,3606.946,3791.961,0.007
30,674.600,159.430,2.263,3.598,4.674,35.781,62.713,91.318,3695.578,3921.180,0.006
35,708.800,134.751,2.596,3.602,5.011,36.709,60.549,80.912,3779.894,3900.285,0.007
40,716.400,141.581,2.708,3.582,4.843,36.294,61.796,84.721,3868.350,3992.495,0.007
45,734.800,135.471,2.690,3.649,5.023,35.631,61.405,85.492,3601.417,4132.384,0.007
50,531.400,213.783,2.701,3.727,5.834,37.696,82.321,126.933,5804.345,6388.089,0.005
55,373.800,28.275,2.837,3.742,4.908,40.352,87.532,116.620,171.102,250.850,0.035
60,0.400,3.531,3.415,3.415,3.646,3.646,3.646,3.646,3.646,3.646,0.283
